"Time","Time to Use Redo Log Space "
2023-04-27 17:09:42,310
2023-04-27 17:09:43,304
2023-04-27 17:09:44,332
2023-04-27 17:09:45,348
2023-04-27 17:09:46,359
2023-04-27 17:09:47,369
2023-04-27 17:09:48,367
2023-04-27 17:09:49,379
2023-04-27 17:09:50,360
2023-04-27 17:09:51,460
2023-04-27 17:09:52,593
2023-04-27 17:09:53,1071
2023-04-27 17:09:54,1622
2023-04-27 17:09:55,5401
2023-04-27 17:09:56,1170
2023-04-27 17:09:57,671
2023-04-27 17:09:58,495
2023-04-27 17:09:59,380
2023-04-27 17:10:00,320
2023-04-27 17:10:01,372
2023-04-27 17:10:02,374
2023-04-27 17:10:03,407
2023-04-27 17:10:04,403
2023-04-27 17:10:05,382
2023-04-27 17:10:06,335
2023-04-27 17:10:07,365
2023-04-27 17:10:08,335
2023-04-27 17:10:09,328
2023-04-27 17:10:10,345
2023-04-27 17:10:11,362
2023-04-27 17:10:12,343
2023-04-27 17:10:13,348
2023-04-27 17:10:14,352
2023-04-27 17:10:15,352
2023-04-27 17:10:16,329
2023-04-27 17:10:17,317
2023-04-27 17:10:18,311
2023-04-27 17:10:19,392
2023-04-27 17:10:20,517
2023-04-27 17:10:21,786
2023-04-27 17:10:22,1494
2023-04-27 17:10:23,3437
2023-04-27 17:10:24,1252
2023-04-27 17:10:25,1011
2023-04-27 17:10:26,673
2023-04-27 17:10:27,640
2023-04-27 17:10:28,616
2023-04-27 17:10:29,689
2023-04-27 17:10:30,651
2023-04-27 17:10:31,644
2023-04-27 17:10:32,566
2023-04-27 17:10:33,565
2023-04-27 17:10:34,608
2023-04-27 17:10:35,607
2023-04-27 17:10:36,654
2023-04-27 17:10:37,647
2023-04-27 17:10:38,579
2023-04-27 17:10:39,422
2023-04-27 17:10:40,392
2023-04-27 17:10:41,342
2023-04-27 17:10:42,304
2023-04-27 17:10:43,321
2023-04-27 17:10:44,338
2023-04-27 17:10:45,315
2023-04-27 17:10:46,348
2023-04-27 17:10:47,367
2023-04-27 17:10:48,322
2023-04-27 17:10:49,334
2023-04-27 17:10:50,515
2023-04-27 17:10:51,674
2023-04-27 17:10:52,883
2023-04-27 17:10:53,1583
2023-04-27 17:10:54,1097
2023-04-27 17:10:55,585
2023-04-27 17:10:56,431
2023-04-27 17:10:57,359
2023-04-27 17:10:58,329
2023-04-27 17:10:59,281
2023-04-27 17:11:00,324
2023-04-27 17:11:01,363
2023-04-27 17:11:02,389
2023-04-27 17:11:03,330
2023-04-27 17:11:04,357
2023-04-27 17:11:05,330
2023-04-27 17:11:06,301
2023-04-27 17:11:07,290
2023-04-27 17:11:08,315
2023-04-27 17:11:09,329
2023-04-27 17:11:10,349
2023-04-27 17:11:11,336
2023-04-27 17:11:12,413
2023-04-27 17:11:13,548
2023-04-27 17:11:14,806
2023-04-27 17:11:15,1155
2023-04-27 17:11:16,4448
2023-04-27 17:11:17,1746
2023-04-27 17:11:18,830
2023-04-27 17:11:19,592
2023-04-27 17:11:20,481
2023-04-27 17:11:21,363
2023-04-27 17:11:22,336
2023-04-27 17:11:23,328
2023-04-27 17:11:24,318
2023-04-27 17:11:25,295
2023-04-27 17:11:26,286
2023-04-27 17:11:27,287
2023-04-27 17:11:28,288
2023-04-27 17:11:29,275
2023-04-27 17:11:30,331
2023-04-27 17:11:31,453
2023-04-27 17:11:32,543
2023-04-27 17:11:33,847
2023-04-27 17:11:34,1163
2023-04-27 17:11:35,672
2023-04-27 17:11:36,496
2023-04-27 17:11:37,451
2023-04-27 17:11:38,361
2023-04-27 17:11:39,353
2023-04-27 17:11:40,369
2023-04-27 17:11:41,367
2023-04-27 17:11:42,354
2023-04-27 17:11:43,361
2023-04-27 17:11:44,313
2023-04-27 17:11:45,312
2023-04-27 17:11:46,330
2023-04-27 17:11:47,349
2023-04-27 17:11:48,382
2023-04-27 17:11:49,447
2023-04-27 17:11:50,425
2023-04-27 17:11:51,357
2023-04-27 17:11:52,341
2023-04-27 17:11:53,322
2023-04-27 17:11:54,341
2023-04-27 17:11:55,345
2023-04-27 17:11:56,335
2023-04-27 17:11:57,345
2023-04-27 17:11:58,304
2023-04-27 17:11:59,311
2023-04-27 17:12:00,345
2023-04-27 17:12:01,502
2023-04-27 17:12:02,627
2023-04-27 17:12:03,1282
2023-04-27 17:12:04,1939
2023-04-27 17:12:05,4389
2023-04-27 17:12:06,2083
2023-04-27 17:12:07,752
2023-04-27 17:12:08,493
2023-04-27 17:12:09,380
2023-04-27 17:12:10,332
2023-04-27 17:12:11,280
2023-04-27 17:12:12,303
2023-04-27 17:12:13,312
2023-04-27 17:12:14,334
2023-04-27 17:12:15,303
2023-04-27 17:12:16,324
2023-04-27 17:12:17,331
2023-04-27 17:12:18,336
2023-04-27 17:12:19,299
2023-04-27 17:12:20,333
2023-04-27 17:12:21,327
2023-04-27 17:12:22,310
2023-04-27 17:12:23,304
2023-04-27 17:12:24,356
2023-04-27 17:12:25,338
2023-04-27 17:12:26,350
2023-04-27 17:12:27,342
2023-04-27 17:12:28,322
2023-04-27 17:12:29,310
2023-04-27 17:12:30,318
2023-04-27 17:12:31,343
2023-04-27 17:12:32,469
2023-04-27 17:12:33,765
2023-04-27 17:12:34,1108
2023-04-27 17:12:35,1371
2023-04-27 17:12:36,2281
2023-04-27 17:12:37,1307
2023-04-27 17:12:38,785
2023-04-27 17:12:39,583
2023-04-27 17:12:40,385
2023-04-27 17:12:41,320
2023-04-27 17:12:42,320
2023-04-27 17:12:43,301
2023-04-27 17:12:44,319
2023-04-27 17:12:45,419
2023-04-27 17:12:46,367
2023-04-27 17:12:47,349
2023-04-27 17:12:48,317
2023-04-27 17:12:49,315
2023-04-27 17:12:50,366
2023-04-27 17:12:51,546
2023-04-27 17:12:52,725
2023-04-27 17:12:53,2132
2023-04-27 17:12:54,1947
2023-04-27 17:12:55,956
2023-04-27 17:12:56,545
2023-04-27 17:12:57,450
2023-04-27 17:12:58,373
2023-04-27 17:12:59,315
2023-04-27 17:13:00,331
2023-04-27 17:13:01,335
2023-04-27 17:13:02,317
2023-04-27 17:13:03,315
2023-04-27 17:13:04,378
2023-04-27 17:13:05,357
2023-04-27 17:13:06,347
2023-04-27 17:13:07,301
2023-04-27 17:13:08,286
2023-04-27 17:13:09,279
2023-04-27 17:13:10,269

