"Time","Time to Use Redo Log Space "
2023-04-27 17:25:13,181
2023-04-27 17:25:14,192
2023-04-27 17:25:15,201
2023-04-27 17:25:16,193
2023-04-27 17:25:17,202
2023-04-27 17:25:18,212
2023-04-27 17:25:19,219
2023-04-27 17:25:20,221
2023-04-27 17:25:21,220
2023-04-27 17:25:22,197
2023-04-27 17:25:23,185
2023-04-27 17:25:24,181
2023-04-27 17:25:25,177
2023-04-27 17:25:26,184
2023-04-27 17:25:27,201
2023-04-27 17:25:28,220
2023-04-27 17:25:29,231
2023-04-27 17:25:30,215
2023-04-27 17:25:31,222
2023-04-27 17:25:32,222
2023-04-27 17:25:33,225
2023-04-27 17:25:34,208
2023-04-27 17:25:35,219
2023-04-27 17:25:36,211
2023-04-27 17:25:37,203
2023-04-27 17:25:38,196
2023-04-27 17:25:39,207
2023-04-27 17:25:40,210
2023-04-27 17:25:41,222
2023-04-27 17:25:42,235
2023-04-27 17:25:43,224
2023-04-27 17:25:44,208
2023-04-27 17:25:45,208
2023-04-27 17:25:46,206
2023-04-27 17:25:47,201
2023-04-27 17:25:48,206
2023-04-27 17:25:49,226
2023-04-27 17:25:50,228
2023-04-27 17:25:51,210
2023-04-27 17:25:52,212
2023-04-27 17:25:53,219
2023-04-27 17:25:54,198
2023-04-27 17:25:55,204
2023-04-27 17:25:56,206
2023-04-27 17:25:57,188
2023-04-27 17:25:58,182
2023-04-27 17:25:59,190
2023-04-27 17:26:00,192
2023-04-27 17:26:01,196
2023-04-27 17:26:02,220
2023-04-27 17:26:03,217
2023-04-27 17:26:04,202
2023-04-27 17:26:05,191
2023-04-27 17:26:06,198
2023-04-27 17:26:07,187
2023-04-27 17:26:08,201
2023-04-27 17:26:09,211
2023-04-27 17:26:10,222
2023-04-27 17:26:11,207
2023-04-27 17:26:12,199
2023-04-27 17:26:13,192
2023-04-27 17:26:14,196
2023-04-27 17:26:15,191
2023-04-27 17:26:16,202
2023-04-27 17:26:17,216
2023-04-27 17:26:18,216
2023-04-27 17:26:19,219
2023-04-27 17:26:20,213
2023-04-27 17:26:21,201
2023-04-27 17:26:22,188
2023-04-27 17:26:23,198
2023-04-27 17:26:24,181
2023-04-27 17:26:25,189
2023-04-27 17:26:26,190
2023-04-27 17:26:27,198
2023-04-27 17:26:28,193
2023-04-27 17:26:29,206
2023-04-27 17:26:30,205
2023-04-27 17:26:31,202
2023-04-27 17:26:32,204
2023-04-27 17:26:33,195
2023-04-27 17:26:34,197
2023-04-27 17:26:35,187
2023-04-27 17:26:36,198
2023-04-27 17:26:37,200
2023-04-27 17:26:38,209
2023-04-27 17:26:39,212
2023-04-27 17:26:40,213
2023-04-27 17:26:41,204
2023-04-27 17:26:42,204
2023-04-27 17:26:43,212
2023-04-27 17:26:44,213
2023-04-27 17:26:45,224
2023-04-27 17:26:46,228
2023-04-27 17:26:47,223
2023-04-27 17:26:48,216
2023-04-27 17:26:49,211
2023-04-27 17:26:50,195

